City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
2,Atuona,PF,79.07,broken clouds,-9.8,-139.0333,Villa Enata
6,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
7,Port Alfred,ZA,67.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
12,Caravelas,BR,76.55,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
17,Port Elizabeth,ZA,66.49,clear sky,-33.918,25.5701,39 On Nile Guest House
20,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Rikitea,PF,79.11,clear sky,-23.1203,-134.9692,People ThankYou
27,Hermanus,ZA,67.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
29,Amapa,BR,73.42,heavy intensity rain,1.0,-52.0,
31,Supaul,IN,71.49,clear sky,26.1167,86.6,Shri ram guest house
33,El Alto,PE,73.78,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
34,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
38,Cape Town,ZA,65.1,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
43,Araguacu,BR,78.64,broken clouds,-12.9306,-49.8264,Hotel Tocantins
47,Bengkulu,ID,74.1,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
50,Manakara,MG,74.89,light rain,-22.1333,48.0167,La Residence Manakara
52,Carnarvon,AU,69.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
53,Padang,ID,74.39,scattered clouds,-0.9492,100.3543,Mercure Padang
54,Biltine,TD,73.4,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
55,Vao,NC,76.59,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
58,Sri Aman,MY,73.45,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
60,Tezu,IN,67.17,clear sky,27.9167,96.1667,Circuit House
61,Rocha,UY,66.27,clear sky,-34.4833,-54.3333,Hotel Arrarte
66,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
69,Manuangan,PH,73.18,broken clouds,7.2769,124.4044,Deejay's Inn & Cafe
70,East London,ZA,70.86,broken clouds,-33.0153,27.9116,Tu Casa
71,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
74,Paciran,ID,78.51,light rain,-6.8767,112.3761,Tanjung Kodok Beach Resort
75,Alice Springs,AU,69.22,clear sky,-23.7,133.8833,Desert Palms Alice Springs
76,San Quintin,MX,65.26,scattered clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
83,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
85,Arraial Do Cabo,BR,78.76,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
89,Richards Bay,ZA,73.02,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
90,Bredasdorp,ZA,65.03,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
91,Mangan,IN,66.25,overcast clouds,27.5167,88.5333,Hotel Mout View
93,Castro,BR,65.82,clear sky,-24.7911,-50.0119,CHACARA BAILLY
98,Umm Kaddadah,SD,68.13,clear sky,13.6017,26.6876,
100,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
101,Bambous Virieux,MU,77.25,scattered clouds,-20.3428,57.7575,Casa Tia Villa
106,Oussouye,SN,73.58,overcast clouds,12.485,-16.5469,Auberge du Routard
107,Vila Do Maio,CV,70.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
109,Fortuna,US,66.9,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
110,Eyl,SO,76.3,scattered clouds,7.9803,49.8164,Amiin Hotel
111,Kupang,ID,77.34,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
115,Cidreira,BR,69.78,clear sky,-30.1811,-50.2056,Hotel Castelo
118,Wamba,NG,79.47,scattered clouds,8.9333,8.6,Roma Zee Guest House Annex
120,Iracoubo,GF,77.9,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
122,Tomigusuku,JP,65.97,broken clouds,26.185,127.675,Hotel Gran View Okinawa
125,Aripuana,BR,76.78,overcast clouds,-9.1667,-60.6333,
128,Lompoc,US,66.85,haze,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
129,Garowe,SO,71.92,scattered clouds,8.4054,48.4845,Curubo Hotel
131,Guadalupe Y Calvo,MX,68.67,overcast clouds,26.1,-106.9667,Hotel Pizarro
134,Guerrero Negro,MX,70.95,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
140,Waingapu,ID,77.49,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
144,Impfondo,CG,76.98,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
153,Mount Isa,AU,73.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
166,Nizwa,OM,76.37,clear sky,22.9333,57.5333,Orient Apartments
167,Mangrol,IN,77.76,clear sky,21.1167,70.1167,Hotel The Royal Honours
168,Laguna,US,74.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
171,Mae Sai,TH,73.63,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
173,Sao Filipe,CV,71.02,overcast clouds,14.8961,-24.4956,Hotel Xaguate
183,Alyangula,AU,73.27,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
185,Doume,CM,78.53,broken clouds,4.2333,13.45,Hotel Universel
187,Ballina,AU,68.77,moderate rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
190,Diamantino,BR,77.32,heavy intensity rain,-14.4086,-56.4461,Hotel Delta
191,Menongue,AO,65.48,overcast clouds,-14.6585,17.691,Ritz Lauca
192,Bilsi,IN,72.39,clear sky,28.1333,78.9167,Hanuman murti bilsi
194,Sibu,MY,71.91,few clouds,2.3,111.8167,RH HOTEL (4 Star)
199,Rafaela,AR,69.78,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
201,Mananara,MG,76.55,light rain,-16.1667,49.7667,Chez Roger
205,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
207,West Wendover,US,74.41,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
208,Gweta,BW,74.34,overcast clouds,-20.1833,25.2333,Gweta Lodge
218,Angoche,MZ,77.61,overcast clouds,-16.2325,39.9086,Guest House HESADA
221,Malinyi,TZ,71.64,few clouds,-8.9333,36.1333,
223,Catuday,PH,78.66,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
224,La Macarena,CO,73.04,light rain,2.1837,-73.7849,Hotel Punto Verde
225,Ambilobe,MG,73.92,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
227,Palmerston,AU,78.78,broken clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
233,Viedma,AR,67.71,clear sky,-40.8135,-62.9967,Hotel Cristal
235,General Roca,AR,77.63,clear sky,-39.0333,-67.5833,Hotel El Recreo
239,Dalbandin,PK,71.47,clear sky,28.8947,64.4101,Sanjrani House
245,Port Moresby,PG,76.42,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
249,Iquique,CL,68.04,few clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
250,Mareeba,AU,72.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
252,La Plata,AR,70.45,clear sky,-34.9215,-57.9545,Hotel Corregidor
257,Sibolga,ID,72.72,clear sky,1.7427,98.7792,Hotel Syariah CN Darussalam
263,Trelew,AR,70.92,clear sky,-43.249,-65.3051,Hotel Touring Club
264,Itacare,BR,78.22,few clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
265,Parau,NZ,70.11,clear sky,-36.9672,174.6141,Waterfront Titirangi
267,Rampura,IN,71.2,clear sky,30.25,75.2333,Akash
273,Atambua,ID,71.98,broken clouds,-9.1061,124.8925,Kost Alfa Flat
282,Comodoro Rivadavia,AR,71.46,dust,-45.8667,-67.5,Austral Hotel
286,Antofagasta,CL,72.21,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
287,Dwarka,IN,78.8,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
291,Umm Lajj,SA,77.56,broken clouds,25.0213,37.2685,Moon light Furnished Units
298,Katobu,ID,74.1,moderate rain,-4.9408,122.5276,La Ode Husein
303,Xuddur,SO,79.77,scattered clouds,4.1213,43.8894,Banjanay Hotel
304,Malpe,IN,79.9,broken clouds,13.35,74.7167,Hotel Sri Krishna Residency
305,Dingle,PH,75.72,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
310,Sompeta,IN,78.87,few clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
314,Ipixuna,BR,75.81,moderate rain,-1.7625,-48.8043,Chalé do Mato
315,Geraldton,AU,72.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
319,Cairns,AU,76.95,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
320,Pio Ix,BR,72.66,overcast clouds,-6.8375,-40.5792,Hotel Central
321,Golden,US,76.55,overcast clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
325,Baillif,GP,78.3,broken clouds,16.0202,-61.7463,Hôtel Saint-Georges
326,Santa Rosalia,MX,78.04,overcast clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
328,Sassandra,CI,79.32,scattered clouds,4.95,-6.0833,la terrasse
330,Ishigaki,JP,68.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
331,Domoni,KM,79.81,light rain,-12.2569,44.5319,Al Djadid
334,Qui Nhon,VN,75.61,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
335,Maldonado,UY,74.59,clear sky,-34.6667,-54.9167,La Cimarrona
336,Baturaja,ID,71.94,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
337,Kailua,US,79.07,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
340,Nchelenge,ZM,70.32,moderate rain,-9.3451,28.734,KD Travellers Home
